node,node_adj,distance_m
051,056,14.730972540793898
531,534,29.29248443506401
322,325,14.702674621098632
517,530,27.69125152747112
396,429,18.896752040602863
212,216,8.884695090549641
518,544,36.43516516407946
100,156,19.619854578338337
463,507,30.58416841448923
577,580,65.69988814446124
330,337,19.857161682558342
269,736,24.147477456234505
703,711,69.84964393970849
132,135,26.89426862633245
169,170,12.957370654880988
171,172,7.608230484781782
596,630,64.59599699866493
297,300,10.884459061255859
260,265,26.307341277678592
051,065,23.646711905698833
246,274,23.22930641243995
252,271,18.920357920576674
507,509,8.291393618477155
160,161,19.45679948471662
014,689,21.388873407587695
739,740,53.85425071521778
084,715,23.40608085325915
403,727,16.864971223635862
381,405,15.27470013308054
476,541,68.99255839458652
383,405,13.62647661540894
420,423,4.88212796504804
398,401,16.93062056364883
320,322,18.016529123042528
613,698,83.48843302838719
261,276,13.067153457274642
622,624,38.60057548449811
151,160,20.936042150726237
105,107,10.81075542330801
489,498,7.729981520660349
392,396,18.12170458785107
022,464,18.63974028113912
130,135,8.5066803282252
315,333,13.895777664437983
158,160,8.449682731261264
137,527,27.635327703702366
130,503,19.365151453157242
403,404,6.4976045684363335
575,709,95.8507882011429
002,220,19.185351611840677
278,312,72.96406467871222
673,678,18.67045628552169
621,734,37.5908425962293
610,704,23.68387999927013
036,441,8.700971527444507
254,681,73.27205614282092
235,239,23.863091772205067
570,574,12.621765042051484
302,686,20.807177688407197
042,424,15.141427826309465
327,330,19.69613177320846
458,461,20.469104076675112
017,449,9.712325217717957
100,106,18.83150463479555
162,185,26.354781953588137
465,480,9.803467057254247
186,188,16.336467077373154
365,386,21.10483762283462
337,341,23.078449129263184
534,558,39.942999202699426
099,103,15.869932738616464
453,694,21.780795280038998
027,036,18.712588452853396
383,402,17.74424433121384
130,506,25.66760552156976
129,504,22.59088251858145
251,255,15.281232458797428
328,336,16.007348090648367
249,257,12.915477145501926
346,348,8.978760961898427
146,662,26.055352186402917
338,369,21.828973344905382
252,261,26.43934971706782
192,194,14.246939300327707
126,729,23.521251799553905
335,437,56.19479315868241
499,501,9.602307199981547
283,299,19.646144880800396
277,290,4.653461137837522
288,677,16.88922779849236
254,678,73.70189908493354
090,094,8.981673624746833
466,473,19.164857224272627
120,141,12.617438543968975
506,510,29.070732881799476
015,288,9.21713114872806
687,688,7.367062902392812
322,332,13.28814744775438
682,683,27.42433285211275
302,303,12.141509999512543
356,377,16.718114406742053
570,576,17.539053558622975
050,052,20.21366199501591
259,277,11.982424484582747
320,325,4.884877139573361
620,734,69.32221830088933
032,210,17.873770591644607
582,742,21.985201736925372
023,035,14.554752893616289
585,709,122.5418624047351
582,588,76.58738252181281
226,230,17.07199382325708
078,088,9.306606607468364
228,249,25.219736516953546
018,030,29.374558616536852
018,444,22.455924661588554
447,693,75.47733875635137
083,084,10.736865837398131
523,540,16.361380668548577
272,308,21.51085536641416
223,539,47.92864774677433
266,643,34.59160645263072
543,553,17.93483358475809
713,732,88.33001069337479
412,415,9.281270486224756
010,276,21.595414382972415
301,304,16.68269966224599
407,409,7.149867625291551
466,496,20.300389288969175
608,706,64.2001470768621
112,162,38.74266362653428
382,385,11.462734309944818
324,332,20.424867962456915
227,237,17.801427267373317
122,162,19.825531297761206
475,478,11.801820165165108
607,620,93.62886025436507
657,712,15.2097559325362
363,384,17.74160545643114
737,740,52.32522004551549
400,727,7.904985977286645
542,559,25.61878863795397
423,428,14.36934028237141
151,179,37.49097826869873
019,457,30.849705882029394
502,512,9.471255342578521
439,444,23.961639459120082
258,259,13.957004408512054
069,092,15.887211638674307
347,383,25.23378808232704
352,360,21.47876744482006
362,367,21.878710385126205
370,639,102.2877470698917
431,445,13.356264748274338
475,481,21.99829311094328
241,723,14.571180107362858
142,145,15.621312221662658
243,625,10.707331552845302
283,286,13.82745706742682
127,129,12.283125909115702
029,047,17.68773793122827
591,596,72.16922161926496
606,741,159.57649812605285
685,686,5.098156169441524
221,721,13.253934632159375
613,620,81.26536632797072
322,324,7.565467838440138
263,289,17.935391670346736
425,727,12.991835193696863
111,139,7.4495090640377315
538,557,26.202631355943105
546,550,22.063048724151532
466,486,12.112502083230403
115,718,34.44559209005664
191,198,6.31647731971898
294,681,24.81175036018855
335,435,63.44756165470769
211,212,8.794484020365218
371,410,21.266306207608853
063,065,22.128385998045804
271,626,27.35373132960272
586,587,59.6302821424537
091,093,6.919702645430628
260,273,11.213665814370932
368,384,16.61897862409061
434,636,14.333864905221438
613,615,71.97927455644573
681,683,6.052031283256509
060,072,21.076728231475943
331,368,30.060260365377147
386,433,27.712925813627677
400,403,15.228581955360315
402,405,15.290123145990044
608,611,149.79909556342747
205,213,19.571972343415958
605,618,91.42292891802688
383,389,19.862037945098933
251,669,30.587523067626424
610,629,87.17953475968129
410,414,19.12191080450414
339,364,27.242823999830755
676,684,23.50602682426403
011,684,15.329784121312754
110,144,13.697137992840402
226,231,22.32453214391852
128,506,19.05458518157645
374,397,22.230415133822643
546,565,27.371651813428635
151,158,12.878969129576127
473,486,21.59612197594825
409,411,9.585895400549049
319,321,14.290476427700012
085,101,11.35713845421059
078,080,18.850708155914703
010,291,24.749041238692165
066,079,12.7314416318223
018,477,27.550117469961155
610,713,105.29754678451869
168,177,8.350908935871773
257,264,27.98713043983757
204,717,35.355173213122356
056,074,17.700197684492828
372,397,15.137532851314775
280,283,7.510193453344375
663,667,24.902364329844158
592,598,113.93668917505066
562,731,90.69871128056693
108,659,27.421559899265077
584,591,159.42799873138645
120,175,30.661428353652138
257,279,16.806270136321622
118,154,22.62702789379802
544,551,37.20988507474614
604,620,98.98748019416976
615,699,81.1751291856069
628,746,79.48611456330222
055,071,13.627346751287504
273,279,11.212622031171122
062,079,12.520512801003374
107,109,14.566582983239936
074,095,17.360623735074622
318,321,28.360715562477672
495,499,9.088418209280615
364,395,31.09256135433737
498,518,19.004577469773174
199,205,20.69912394034046
086,119,14.958176113642198
264,270,31.055761873697772
564,569,29.89317986345771
554,557,12.955055555388372
209,647,15.201432781039241
495,508,13.271288722119266
116,174,31.70059096756075
485,561,90.77324191773485
378,385,26.70428706528541
284,289,7.940684663080431
500,534,32.073445530273304
649,695,96.75900042193823
067,072,11.56275041278233
084,089,18.333451810504766
271,291,15.274794370737123
122,145,22.167857510055693
578,582,53.1638204405433
551,552,16.99803280883116
746,748,44.56581255880909
644,669,15.451188343444771
737,738,11.193323536889714
115,157,13.576330740914441
183,191,7.114793203240792
604,607,25.27913872219713
618,622,91.80413694782722
001,049,47.4069971559074
105,113,6.779904567037958
262,267,20.80467594926804
697,700,92.04011889448041
561,583,146.92458924865946
424,426,5.195507830154977
176,635,10.527914275850037
133,633,15.386698973631807
