eposode,density_Residential,density_Office,density_Commercial,density_Facility,density_Greenspace,diversity,proximity_Residential,proximity_Office,proximity_Commercial,proximity_Facility,proximity_Greenspace,global_reward,prosocial
0,0.0026231352,0.00025881603,0.0002732557,0.00047654784,0.000827125,0.7493747,7.793296e-05,1.1345158e-05,2.5737309e-06,4.075443e-06,6.2494796e-06,0.8564100861549377,34108.483888888884
1,0.0029368163,0.00025925593,0.00028231592,0.00043319128,0.0006599555,0.806635,6.8348854e-05,1.1983348e-05,3.9791034e-06,5.5168807e-06,6.330852e-06,0.9382596611976624,35143.655
2,0.0026794858,0.00024495172,0.0006682731,0.0005029837,0.0008362543,0.7874466,7.476746e-05,1.1334293e-05,2.5303787e-06,4.815278e-06,6.493453e-06,0.9089462757110596,35020.70722222223
3,0.0031577363,0.0002600782,0.00036156806,0.0003248779,0.0007166578,0.8109982,6.092542e-05,1.1601658e-05,4.042591e-06,4.8710235e-06,6.344621e-06,0.9397299885749817,33962.75055555556
4,0.0033256807,0.00026138118,0.0002814152,0.00031409427,0.00074564357,0.8166536,4.954966e-05,1.16701685e-05,4.302882e-06,5.107015e-06,6.5321437e-06,0.9468318223953247,34090.245
5,0.0032886176,0.0002664843,0.00022292262,0.00041783086,0.00063996937,0.81293404,4.804119e-05,1.146292e-05,3.1887816e-06,4.757673e-06,6.5091103e-06,0.9402194023132324,33877.60499999999
6,0.0031814016,0.0002553087,0.00029431743,0.00039463074,0.00076564535,0.82058364,4.9252496e-05,1.1186839e-05,3.8136084e-06,5.736565e-06,6.2739223e-06,0.9522082805633545,34210.31055555556
7,0.0031742933,0.0002632326,0.0007478755,0.0003206569,0.0008376915,0.8039301,5.867164e-05,1.2987712e-05,2.922796e-06,4.8192387e-06,6.201087e-06,0.9254297614097595,33715.597222222226
8,0.003187239,0.00025707952,0.00031215334,0.00035198597,0.0008354804,0.81356233,6.551333e-05,1.1416011e-05,4.2715465e-06,5.3446493e-06,6.264816e-06,0.9408476948738098,34295.983888888884
9,0.0030924527,0.00025888262,0.00030437048,0.00040021387,0.0008151304,0.8132228,5.1967676e-05,1.21075445e-05,3.8493185e-06,5.2595797e-06,6.2279128e-06,0.9390617609024048,33779.01555555555
10,0.0027956993,0.00026933293,0.00078770646,0.00042203092,0.0007582237,0.8006528,5.9474394e-05,1.2424286e-05,3.2526252e-06,4.9916066e-06,6.263825e-06,0.9221524596214294,33196.12722222222
11,0.003132956,0.00026591105,0.0001893039,0.00029913115,0.00082661037,0.79147524,6.5975335e-05,1.1633486e-05,2.852221e-06,5.4721704e-06,6.3068946e-06,0.9144213199615479,34331.37499999999
12,0.0031991077,0.00025298903,0.0002376092,0.00036186122,0.0008594011,0.81208223,4.837806e-05,1.0972131e-05,2.9013434e-06,5.3914364e-06,6.6649004e-06,0.9422604441642761,34060.56055555556
13,0.0033291746,0.00026965953,0.0002500124,0.0003086357,0.0008010257,0.81317466,5.088983e-05,1.1828453e-05,1.8273697e-06,5.8770283e-06,6.2188105e-06,0.9390136003494263,33443.29388888889
14,0.0029520774,0.0002824819,0.0002205495,0.0003593151,0.00082338817,0.80756176,5.2668805e-05,1.1858741e-05,1.795307e-06,4.9254168e-06,6.2248773e-06,0.9276149868965149,32829.76055555556
15,0.0032337971,0.0002580011,0.00020326569,0.00033146684,0.0008266111,0.80573666,7.298684e-05,8.996888e-06,3.3542572e-06,6.8045742e-06,6.233216e-06,0.9344684481620789,35009.82666666667
