Episode,node ID,Result
0,32,0
0,53,2
0,120,0
0,151,0
0,178,0
0,179,0
0,201,4
0,312,3
0,326,2
0,370,1
0,380,2
0,386,2
0,388,1
0,462,0
0,463,3
0,476,2
0,514,1
0,538,2
0,544,1
0,553,3
0,559,2
0,567,4
0,575,4
0,582,3
0,584,2
0,589,2
0,591,2
0,595,4
0,603,4
0,604,0
0,605,0
0,607,1
0,610,0
0,614,2
0,615,1
0,616,2
0,618,0
0,620,4
0,621,2
0,622,0
0,623,2
0,629,1
0,631,0
0,632,0
0,639,2
0,641,2
0,649,2
0,693,0
0,697,2
0,698,3
0,705,1
0,706,0
0,709,4
0,710,4
0,713,0
0,717,2
0,731,2
0,734,4
0,741,0
0,748,0
1,32,0
1,53,1
1,120,0
1,151,0
1,178,3
1,179,1
1,201,0
1,312,1
1,326,2
1,370,2
1,380,2
1,386,2
1,388,2
1,462,1
1,463,2
1,476,4
1,514,1
1,538,3
1,544,4
1,553,4
1,559,2
1,567,2
1,575,2
1,582,2
1,584,0
1,589,2
1,591,2
1,595,2
1,603,1
1,604,1
1,605,1
1,607,1
1,610,0
1,614,2
1,615,0
1,616,3
1,618,1
1,620,1
1,621,4
1,622,0
1,623,3
1,629,1
1,631,1
1,632,1
1,639,2
1,641,2
1,649,4
1,693,2
1,697,1
1,698,2
1,705,1
1,706,0
1,709,0
1,710,3
1,713,1
1,717,2
1,731,2
1,734,4
1,741,4
1,748,0
2,32,1
2,53,1
2,120,1
2,151,1
2,178,0
2,179,1
2,201,3
2,312,1
2,326,2
2,370,2
2,380,3
2,386,2
2,388,2
2,462,1
2,463,2
2,476,1
2,514,3
2,538,3
2,544,2
2,553,1
2,559,1
2,567,1
2,575,3
2,582,2
2,584,2
2,589,3
2,591,2
2,595,2
2,603,1
2,604,3
2,605,1
2,607,1
2,610,0
2,614,2
2,615,2
2,616,2
2,618,2
2,620,1
2,621,3
2,622,2
2,623,2
2,629,2
2,631,2
2,632,1
2,639,2
2,641,2
2,649,2
2,693,2
2,697,0
2,698,2
2,705,1
2,706,1
2,709,0
2,710,2
2,713,0
2,717,2
2,731,4
2,734,2
2,741,2
2,748,3
3,32,4
3,53,1
3,120,3
3,151,1
3,178,0
3,179,1
3,201,4
3,312,4
3,326,0
3,370,2
3,380,2
3,386,2
3,388,2
3,462,1
3,463,4
3,476,1
3,514,3
3,538,2
3,544,2
3,553,2
3,559,0
3,567,2
3,575,2
3,582,2
3,584,2
3,589,2
3,591,2
3,595,2
3,603,0
3,604,1
3,605,3
3,607,1
3,610,3
3,614,0
3,615,4
3,616,2
3,618,1
3,620,1
3,621,2
3,622,2
3,623,2
3,629,1
3,631,1
3,632,3
3,639,2
3,641,2
3,649,3
3,693,2
3,697,2
3,698,1
3,705,0
3,706,2
3,709,1
3,710,2
3,713,1
3,717,1
3,731,2
3,734,1
3,741,1
3,748,3
4,32,3
4,53,1
4,120,1
4,151,3
4,178,4
4,179,1
4,201,3
4,312,2
4,326,3
4,370,0
4,380,2
4,386,2
4,388,2
4,462,1
4,463,2
4,476,1
4,514,0
4,538,3
4,544,2
4,553,3
4,559,2
4,567,2
4,575,2
4,582,1
4,584,0
4,589,3
4,591,2
4,595,2
4,603,1
4,604,3
4,605,0
4,607,1
4,610,1
4,614,2
4,615,2
4,616,2
4,618,1
4,620,1
4,621,0
4,622,4
4,623,2
4,629,4
4,631,1
4,632,1
4,639,2
4,641,2
4,649,0
4,693,1
4,697,0
4,698,2
4,705,4
4,706,4
4,709,1
4,710,2
4,713,1
4,717,2
4,731,2
4,734,2
4,741,0
4,748,1
5,32,3
5,53,1
5,120,0
5,151,1
5,178,3
5,179,1
5,201,3
5,312,4
5,326,1
5,370,0
5,380,1
5,386,2
5,388,2
5,462,2
5,463,2
5,476,1
5,514,3
5,538,3
5,544,3
5,553,4
5,559,2
5,567,2
5,575,2
5,582,0
5,584,2
5,589,2
5,591,1
5,595,2
5,603,1
5,604,0
5,605,3
5,607,3
5,610,0
5,614,2
5,615,2
5,616,2
5,618,2
5,620,0
5,621,4
5,622,2
5,623,0
5,629,1
5,631,1
5,632,0
5,639,2
5,641,2
5,649,2
5,693,1
5,697,2
5,698,1
5,705,1
5,706,0
5,709,0
5,710,2
5,713,1
5,717,2
5,731,1
5,734,0
5,741,0
5,748,1
6,32,3
6,53,2
6,120,1
6,151,3
6,178,3
6,179,1
6,201,4
6,312,2
6,326,2
6,370,2
6,380,2
6,386,0
6,388,2
6,462,1
6,463,2
6,476,4
6,514,3
6,538,3
6,544,3
6,553,2
6,559,2
6,567,2
6,575,2
6,582,1
6,584,2
6,589,0
6,591,2
6,595,2
6,603,1
6,604,3
6,605,3
6,607,1
6,610,3
6,614,2
6,615,1
6,616,2
6,618,1
6,620,1
6,621,4
6,622,2
6,623,2
6,629,2
6,631,1
6,632,2
6,639,3
6,641,2
6,649,2
6,693,0
6,697,2
6,698,2
6,705,1
6,706,4
6,709,1
6,710,2
6,713,1
6,717,4
6,731,2
6,734,4
6,741,1
6,748,1
7,32,3
7,53,1
7,120,1
7,151,3
7,178,3
7,179,1
7,201,4
7,312,2
7,326,2
7,370,2
7,380,2
7,386,2
7,388,0
7,462,1
7,463,2
7,476,1
7,514,3
7,538,0
7,544,2
7,553,2
7,559,2
7,567,4
7,575,3
7,582,2
7,584,2
7,589,1
7,591,4
7,595,2
7,603,3
7,604,3
7,605,3
7,607,1
7,610,3
7,614,2
7,615,2
7,616,2
7,618,1
7,620,3
7,621,3
7,622,3
7,623,4
7,629,2
7,631,1
7,632,1
7,639,4
7,641,2
7,649,2
7,693,2
7,697,1
7,698,4
7,705,3
7,706,1
7,709,1
7,710,1
7,713,0
7,717,2
7,731,2
7,734,2
7,741,1
7,748,1
8,32,3
8,53,3
8,120,1
8,151,3
8,178,3
8,179,2
8,201,3
8,312,2
8,326,2
8,370,2
8,380,2
8,386,2
8,388,2
8,462,0
8,463,2
8,476,0
8,514,3
8,538,3
8,544,1
8,553,2
8,559,1
8,567,2
8,575,2
8,582,2
8,584,3
8,589,2
8,591,2
8,595,2
8,603,1
8,604,3
8,605,3
8,607,1
8,610,0
8,614,2
8,615,4
8,616,2
8,618,1
8,620,1
8,621,2
8,622,2
8,623,2
8,629,1
8,631,1
8,632,4
8,639,2
8,641,1
8,649,3
8,693,2
8,697,2
8,698,4
8,705,0
8,706,1
8,709,1
8,710,2
8,713,4
8,717,2
8,731,2
8,734,2
8,741,1
8,748,4
9,32,3
9,53,1
9,120,1
9,151,1
9,178,3
9,179,1
9,201,4
9,312,0
9,326,2
9,370,2
9,380,2
9,386,2
9,388,0
9,462,1
9,463,2
9,476,1
9,514,3
9,538,3
9,544,1
9,553,2
9,559,2
9,567,2
9,575,2
9,582,2
9,584,2
9,589,4
9,591,2
9,595,2
9,603,1
9,604,0
9,605,3
9,607,4
9,610,3
9,614,2
9,615,2
9,616,2
9,618,1
9,620,1
9,621,1
9,622,2
9,623,4
9,629,0
9,631,1
9,632,4
9,639,3
9,641,2
9,649,3
9,693,2
9,697,2
9,698,1
9,705,1
9,706,1
9,709,1
9,710,2
9,713,1
9,717,2
9,731,2
9,734,2
9,741,1
9,748,0
10,32,1
10,53,2
10,120,1
10,151,0
10,178,3
10,179,2
10,201,3
10,312,2
10,326,2
10,370,2
10,380,0
10,386,2
10,388,3
10,462,1
10,463,2
10,476,1
10,514,2
10,538,3
10,544,2
10,553,4
10,559,2
10,567,2
10,575,3
10,582,4
10,584,2
10,589,4
10,591,2
10,595,2
10,603,1
10,604,3
10,605,3
10,607,1
10,610,3
10,614,1
10,615,2
10,616,2
10,618,1
10,620,1
10,621,2
10,622,2
10,623,0
10,629,1
10,631,3
10,632,1
10,639,2
10,641,2
10,649,2
10,693,4
10,697,2
10,698,2
10,705,4
10,706,1
10,709,1
10,710,2
10,713,1
10,717,2
10,731,2
10,734,2
10,741,1
10,748,1
11,32,3
11,53,0
11,120,1
11,151,3
11,178,2
11,179,1
11,201,0
11,312,2
11,326,2
11,370,2
11,380,1
11,386,0
11,388,4
11,462,1
11,463,2
11,476,1
11,514,3
11,538,3
11,544,4
11,553,2
11,559,2
11,567,2
11,575,2
11,582,2
11,584,2
11,589,2
11,591,2
11,595,2
11,603,0
11,604,3
11,605,3
11,607,4
11,610,3
11,614,3
11,615,3
11,616,2
11,618,1
